pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
"¿En qué ciudad nació Lionel Messi?","Rosario","Buenos Aires","Córdoba","Santa Fe",1
"¿Cuál es la capital de Argentina?","Buenos Aires","Córdoba","Rosario","La Plata",1
"¿En qué año ganó Argentina su primer mundial de fútbol?","1978","1986","2002","1966",1
"¿Quién es conocido como el 'Padre de la Patria' en Argentina?","Juan Manuel de Rosas","José de San Martín","Manuel Belgrano","Alberto Fujimori",2
"¿Cuál es el pico más alto de Argentina?","Cerro Aconcagua","Cerro Tronador","Cerro Fitz Roy","Cerro Mercedario",1
"¿Qué río separa a Argentina de Uruguay?","Río Paraná","Río Colorado","Río de la Plata","Río Uruguay",3
"¿Quién compuso la canción 'Gracias a la Vida'?","Mercedes Sosa","Charly García","Violeta Parra","Caifanes",3
"¿En qué año fue elegido presidente Néstor Kirchner?","2000","2003","2007","1999",2
"¿En qué provincia se encuentra la ciudad de Ushuaia?","Santa Cruz","Chubut","Tierra del Fuego","Neuquén",3
"¿Qué moneda se utiliza en Argentina?","Dólar","Peso","Real","Euro",2
"¿Qué famoso cantante argentino popularizó el tango?","Astor Piazzolla","Carlos Gardel","Sandro","Juan Gabriel",2
"¿Cuál es la danza tradicional de Argentina?","Salsa","Cumbia","Tango","Cha-cha-chá",3
"¿Cuál es el nombre del famoso glaciar en la Patagonia?","Perito Moreno","Martial","Upsala","Viedma",1
"¿Quién es el autor de 'Martín Fierro'?","Jorge Luis Borges","José Hernández","Julio Cortázar","Adolfo Casares",2
"¿Cuál es la montaña más alta de América del Sur?","Cerro Bonete","Monte Pissis","Aconcagua","Ojos del Salado",3
"¿Qué bebida es famosa en Argentina?","Tequila","Mate","Pisco","Fernet",2
"¿Cuál es el nombre del teatro más famoso de Buenos Aires?","Teatro Colón","Teatro Gran Rex","Teatro Nacional","Teatro Maipo",1
"¿Cuál es la Avenida más ancha del mundo ubicada en Buenos Aires?","Avenida de Mayo","Avenida Corrientes","Avenida 9 de Julio","Avenida Libertador",3
"¿Qué prócer argentino creó la bandera?","Domingo Sarmiento","José de San Martín","Manuel Belgrano","Bernardino Rivadavia",3
"¿Qué actriz argentina fue esposa de Juan Domingo Perón?","Tita Merello","Eva Perón","Libertad Lamarque","Chavela Vargas",2
"¿En qué año fue la Guerra de las Malvinas?","1980","1982","1984","1978",2
"¿Cuál es el nombre del equipo de fútbol conocido como 'La Academia'?","Boca Juniors","Racing Club","River Plate","Independiente",2
"¿En qué provincia se encuentra la ciudad de Mendoza?","Santa Fe","San Juan","Mendoza","La Pampa",3
"¿Cuál es el ave nacional de Argentina?","Cóndor","Ñandú","Hornero","Flamenco",3
"¿Qué escritora argentina ganó el Premio Cervantes en 2018?","Silvina Ocampo","María Elena Walsh","María Teresa Andruetto","Alicia Steimberg",3
"¿Qué ciudad argentina es conocida por sus cataratas?","Misiones","Puerto Iguazú","Cataratas de Córdoba","Salta",2